Frame,X,Y,Visibility,L,Theta
118,767,305,1,3.161456048488617,19.741010947238234
119,779,310,1,2.8284270763397217,44.99999999979242
120,791,315,1,2.2058622241020203,17.13685276700336
121,0,0,0,-inf,-inf
122,807,317,1,0.0,0.0
123,817,315,1,2.7177525982260704,-80.25878286868507
124,826,308,1,4.022683084011078,-56.545647585845806
125,829,301,1,3.8047178387641907,64.4637717962818
126,821,302,1,2.228041023015976,21.70882303865896
127,803,297,1,3.6268328726291656,11.060415758411633
128,787,294,1,3.1480422765016556,12.996328789915886
129,770,292,1,3.0,0.0
130,755,292,1,3.1400251127779484,-5.9838058905379015
131,740,292,1,3.0655219480395317,-4.2250935889662005
132,724,294,1,2.5,0.0
133,708,297,1,3.0421741902828217,-20.50454345078511
134,693,301,1,3.633183643221855,-12.424314954527693
135,677,306,1,3.161456048488617,-19.741010947091592
136,661,313,1,3.525478258728981,-12.452384404047594
137,646,320,1,3.3540675938129425,-26.305515691782514
138,630,329,1,3.8075715601444244,-23.935417397505216
139,614,333,1,3.2915448546409607,15.48187826603676
140,602,328,1,3.161456048488617,19.741010947208032
141,587,321,1,3.160614162683487,20.2935289502406
142,575,317,1,3.0717720836400986,4.693988257504396
143,562,314,1,3.499126523733139,1.279977239037356
144,551,311,1,3.0319960229098797,4.960006481385949
145,572,303,1,3.353900447487831,-27.19313631907112
146,592,297,1,3.2114219292998314,-9.79313413487168
147,611,292,1,2.765263795852661,-12.491578503622247
148,628,288,1,2.8248110711574554,16.637443992242286
149,628,288,1,3.1112695783376694,-8.130102354464137
150,653,285,1,2.5,0.0
151,676,284,1,2.5,2.829742198751546e-10
152,689,285,1,3.0655219480395317,4.225093588919738
153,702,286,1,3.161456048488617,19.741010947238234
154,710,288,1,3.0203626602888107,16.202271744500592
155,722,291,1,3.0366103649139404,6.252600027522458
156,734,296,1,2.9103334844112396,34.3672751828049
157,746,301,1,2.8284270763397217,0.0
158,756,306,1,2.8284270763397217,0.0
159,767,313,1,2.914038196206093,29.164462050047494
160,777,315,1,2.643728584051132,-79.12961047243924
161,787,304,1,5.329712301492691,-66.0909676654272
162,787,301,1,4.948954850435257,46.025253726271934
163,778,297,1,3.160939574241638,20.101874153748287
164,766,293,1,4.268271669745445,18.1615390252519
165,752,290,1,3.161456048488617,19.741010947238234
166,740,288,1,3.025527760386467,15.314999242214865
167,729,288,1,3.0464296005666256,2.8782720590839967
168,716,288,1,2.5,0.0
169,704,289,1,3.008274585008621,-17.92397835747257
170,693,291,1,3.1082673966884613,-24.79398906205826
171,680,295,1,2.7177525982260704,9.741217131692428
172,668,299,1,2.8620646595954895,-41.94786792920403
173,656,304,1,2.5,0.0
